VR_NUMBER,LATITUDE,LONGITUDE,POSITION_UTC_DATE
101440,44.625833,-65.751944,2018-05-30 06:19:11
176301,47.38068,-61.8552,2018-05-30 06:19:44
108274,44.264700000000005,-66.3481,2018-05-30 06:19:48
158986,46.83878,-62.756789999999995,2018-05-30 06:20:05
106793,45.019721999999994,-61.386111,2018-05-30 06:20:43
160781,46.6272,-61.0165,2018-05-30 06:21:02
73907,45.057221999999996,-66.796666,2018-05-30 06:21:14
105625,45.504166,-60.957221999999994,2018-05-30 06:22:35
107218,45.016666,-65.60416599999999,2018-05-30 06:22:41
106231,45.094722,-66.41666599999999,2018-05-30 06:22:56
106425,43.6062,-65.77720000000001,2018-05-30 06:23:07
106256,45.919722,-59.9675,2018-05-30 06:23:26
107949,43.7,-65.107222,2018-05-30 06:24:44
176301,47.380500000000005,-61.855019999999996,2018-05-30 06:25:04
158986,46.83368,-62.7706,2018-05-30 06:25:05
108371,43.4992,-65.47070000000001,2018-05-30 06:25:49
150009,43.84,-66.1215,2018-05-30 06:25:49
160781,46.6272,-61.0165,2018-05-30 06:26:14
108303,43.5195,-66.4011,2018-05-30 06:27:18
105907,43.6169,-65.7865,2018-05-30 06:27:36
4052,44.643611,-63.5675,2018-05-30 06:28:03
105908,45.503054999999996,-60.957221999999994,2018-05-30 06:28:16
107838,45.8594,-59.8984,2018-05-30 06:28:52
108358,45.339031,-60.995494,2018-05-30 06:30:00
108233,45.582189,-60.740319,2018-05-30 06:30:00
5665,44.83461,-65.87849,2018-05-30 06:30:01
107314,42.23135,-66.14452,2018-05-30 06:30:03
103157,44.625479999999996,-65.75216999999999,2018-05-30 06:30:03
106661,44.903479999999995,-65.91691999999999,2018-05-30 06:30:03
103682,45.01442,-65.56573,2018-05-30 06:30:03
19636,45.101549999999996,-65.49529,2018-05-30 06:30:03
158986,46.82948,-62.782300000000006,2018-05-30 06:30:05
176301,47.38068,-61.8552,2018-05-30 06:30:24
160781,46.6272,-61.0165,2018-05-30 06:30:57
106891,45.055,-66.794722,2018-05-30 06:31:16
4062,43.540555,-60.534166,2018-05-30 06:32:05
4004,44.642500000000005,-63.5675,2018-05-30 06:32:34
106548,43.382222,-66.21972199999999,2018-05-30 06:32:58
101308,46.197,-59.9495,2018-05-30 06:33:00
102897,44.4593,-64.31320000000001,2018-05-30 06:33:19
101810,44.66093,-66.75632,2018-05-30 06:33:34
176301,47.38104,-61.85538,2018-05-30 06:34:40
104602,45.501943999999995,-60.963333,2018-05-30 06:34:41
104409,45.338333,-60.995833,2018-05-30 06:34:54
158986,46.82488,-62.79499,2018-05-30 06:35:05
160781,46.6272,-61.0165,2018-05-30 06:35:40
73907,45.057221999999996,-66.796666,2018-05-30 06:36:31
102365,44.550833,-66.03222199999999,2018-05-30 06:37:17
107218,45.016666,-65.60416599999999,2018-05-30 06:37:58
106231,45.094722,-66.41666599999999,2018-05-30 06:38:12
1518,41.972777,-66.5425,2018-05-30 06:38:52
176301,47.380500000000005,-61.855019999999996,2018-05-30 06:40:00
158986,46.81998,-62.808789999999995,2018-05-30 06:40:05
160781,46.6272,-61.0165,2018-05-30 06:40:50
19916,44.153459999999995,-64.54566,2018-05-30 06:42:08
1548,41.905,-66.80833299999999,2018-05-30 06:42:34
105907,43.6169,-65.7865,2018-05-30 06:42:36
107749,45.503054999999996,-60.957221999999994,2018-05-30 06:42:58
1516,43.763332999999996,-66.170833,2018-05-30 06:43:29
107814,43.010276999999995,-63.962500000000006,2018-05-30 06:44:23
107866,45.504166,-60.957221999999994,2018-05-30 06:44:41
5665,44.83459,-65.87856,2018-05-30 06:45:00
108177,45.027122,-65.69927299999999,2018-05-30 06:45:00
107314,42.23106,-66.14171999999999,2018-05-30 06:45:03
103157,44.625479999999996,-65.75216999999999,2018-05-30 06:45:03
106661,44.903479999999995,-65.91691999999999,2018-05-30 06:45:03
