UnitArea,Shape_Leng,Shape_Area,ddlat,ddlong
2GA,11.79597480710,2.24366765759,60.02833399040,-63.13527602920
2GB,5.99999802500,1.99999891600,59.99999044610,-61.00000233380
2GC,16.06707416690,2.32705932411,59.02704632210,-62.18529193310
2GD,5.99999805600,1.99999892350,58.99999053580,-60.00000281450
2GE,11.71933168010,1.16710833199,58.12786717580,-61.74601712520
2GF,5.66667750100,1.66667849474,58.08332078700,-60.00000284530
2GG,29.06518102130,13.96390591770,59.34840127030,-57.69995180900
2GP,5.66667750200,1.66667849524,58.08332077400,-58.00000369550
2HA,14.41384932460,2.10172930278,57.10346912690,-60.92367701510
2HB,6.33331868700,2.33331938076,57.08332088970,-59.00000329370
2HC,6.33332632103,2.33332319792,57.08332183550,-57.00000303550
2HD,21.15815960630,2.40474649548,56.01236461340,-60.12432005830
2HE,6.33334160200,2.33334227725,55.91665499060,-58.00000372560
2HF,6.33334160400,2.33334227825,55.91665498680,-56.00000453710
2HH,19.65777298340,13.39979257550,56.39968031270,-52.50588884840
2JA,17.16691917820,0.76623945530,54.94146349470,-58.36890225070
2JB,8.96855473889,2.29165147826,54.97978603010,-56.46970131510
2JC,7.66665391000,2.49998344359,54.91665511920,-53.50000552770
2JD,13.02349374570,1.22646930350,54.07190248110,-56.79343191700
2JE,6.64315936950,2.08333860583,54.00693442440,-54.95833941840
2JF,6.49999812300,2.49999870575,53.87499113030,-53.00000570290
2JG,6.49999813200,2.49999871213,53.87499114990,-51.00000647810
2JI,5.36991642686,1.74999670799,52.83729098240,-54.78571897300
2JL,5.99999821500,1.99999897300,52.74999129770,-51.00000644030
2JM,19.47571467670,0.57531618777,53.02739595370,-55.76885991960
2JN,5.99999820500,1.99999896650,52.74999127950,-53.00000568040
3KA,6.83062417821,2.06440526576,51.50301937470,-54.63918091890
3KB,6.49999815000,2.49999871188,51.62499143570,-53.00000566150
3KC,8.49999742500,3.74999808388,51.62499145890,-50.50000659160
3KD,13.98930328530,1.53840361002,50.60830471520,-55.51420015720
3KE,4.70326004712,1.25000317025,50.57776827850,-53.20000648860
3KF,6.49999838300,2.62499865013,50.12499166280,-51.75000609720
3KG,9.49999731200,5.24999732638,50.12499168690,-49.50000691330
3KH,11.76398955190,1.01997831521,50.00158016190,-55.27626117570
3KI,19.00039863470,2.01418480457,49.72212313440,-53.72220077740
3LA,13.75376245100,0.65838585860,48.90643672630,-53.33063850890
3LB,9.63330912579,0.73270345749,48.34961476350,-53.10680058220
3LC,5.49999853700,1.87499903613,48.62499189260,-51.75000607120
3LD,6.49999819200,2.49999872375,48.62499190790,-50.00000669320
3LF,4.93706206425,0.35292505239,47.93490567900,-52.82152495330
3LG,4.99999861900,1.49999922758,47.49999207290,-51.75000605530
3LH,5.99999827900,1.99999897750,47.49999208660,-50.00000666790
3LJ,5.12109317407,0.41788431106,47.06304594380,-52.68451261940
3LQ,7.87993008533,1.35797757986,46.37542345060,-53.51521501870
3LR,5.99999828600,1.99999897600,46.49999225120,-50.00000664870
3LS,4.99999862100,1.49999922625,46.49999223890,-51.75000604340
3NA,5.99999829000,1.99999897345,45.49999242070,-50.00000663160
3NC,5.99999845300,2.24999883949,44.24999263830,-50.25000653010
3NE,4.99999877400,1.49999922025,42.74999291150,-50.50000643170
3OA,4.99999861800,1.49999922142,45.49999240460,-53.75000534600
3OB,5.99999827800,1.99999896530,45.49999240910,-52.00000594690
3OC,8.69543265666,3.89679278172,43.67294129350,-53.68630235860
3OD,5.99999828400,1.99999896339,44.49999258570,-52.00000594000
3OE,7.99999791700,3.99999791837,42.99999286090,-52.00000593320
3OF,7.04578141368,2.34284670304,41.29689427890,-51.74172329150
3PN,7.40885546745,0.85301779845,47.36399784460,-58.63574478830
4RA,11.81096311150,1.05074158447,51.40088641120,-56.61396283980
4RB,7.73322583500,1.31544809669,50.11546178130,-58.22731283760
4RC,8.90099397521,1.86835835675,49.14609328420,-59.20210133070
4RD,5.84875335192,0.83776317970,48.12790596310,-59.43791639280
4SI,5.27720432594,0.89944471698,49.74233149090,-65.09153299920
4SS,11.31234524660,2.80189588165,48.80108890610,-61.77634066480
4SV,13.68234081350,1.85941423380,50.08097978450,-59.84974706340
4SW,12.42293613880,0.72365784859,51.06891763910,-58.13132862190
4SX,9.25601268525,1.64132287129,49.50869856030,-61.66470349640
4SY,13.69421913560,1.36972866403,50.08475124630,-63.20708640990
4SZ,5.73897663694,0.95174139041,49.77752337610,-66.44199144750
4TF,10.69241575250,3.07298310266,47.64941932280,-61.48869120800
4TG,12.62130376130,1.54368425355,46.43425713210,-61.82895438160
4TH,13.82799288660,0.76713577758,46.06581229390,-63.43026502250
4TJ,5.68002973608,0.58293826640,46.76444916250,-63.25206047120
4TK,6.36655011050,2.37330313148,47.95321921260,-63.14814638580
4TL,12.10127487410,1.09107637475,47.14483712120,-64.39610711460
4TM,5.49729345132,0.37409053301,47.94461911990,-65.55209223420
4TN,9.41278642832,1.08950078529,48.17686257950,-64.20823832950
4TO,7.54569828037,0.80962134505,49.23247183910,-65.40149371880
4TP,10.67150777330,0.94086538892,48.01643932720,-69.51533636780
4TQ,5.55182615995,0.74680275583,49.03641385130,-67.76965795320
4VN,19.73537811790,3.36163053046,46.44167329130,-59.34921024030
4WD,10.90289404960,1.08803118098,45.21545894180,-60.67700120130
4WE,3.99999502700,0.80555788738,44.50860729890,-60.60632559340
4WF,4.33331934900,0.88888259305,43.86457205510,-60.30208485690
4WG,5.66665874300,1.27777180525,43.43114946020,-59.68116475520
